,Facs,P
326,ZNF843,100
327,MTA1,100
328,ZSCAN5A,100
329,ZBTB44,100
330,CHD1,0
331,ZNF512B,100
332,TFDP1,0
333,ZNF610,100
334,ZNF592,100
335,KDM5B,100
336,PRDM4,0
337,ZFP64,100
338,ZNF24,0
339,SREBF1,0
340,BATF,0
341,SOX6,0
342,BCLAF1,100
343,MITF,0
344,CBFA2T3,100
345,GATA4,1
346,ADNP,100
347,ZNF3,0
348,ATF2,0.984
349,NEUROD1,0
350,CREB1,0
351,ARID1B,100
352,ZNF580,100
353,ZNF414,100
354,BCL11A,100
355,MEIS2,0
356,NFATC3,0.004
357,TSHZ1,100
358,ETS1,0
359,USF2,0
360,JUN,0
361,TOE1,100
362,ZNF395,100
363,FIP1L1,0
364,GABPA,0
365,NR4A1,0
366,ZNF785,100
367,TBL1XR1,0.195
368,ZNF664,100
369,FOXM1,0.824
370,CBFA2T2,100
371,CUX1,1
372,ZBTB21,100
373,ZSCAN20,100
374,MYNN,1
375,KLF13,0
376,ZNF76,0
377,FEZF1,0
378,YY1,0
379,TRIM24,100
380,ZNF223,100
381,PBX3,0
382,ETV1,0
383,CREB3L1,0
384,NCOA3,100
385,GMEB1,0
386,RAD51,100
387,ZBTB11,100
388,CHD2,0
389,ZBTB2,100
390,EP400,100
391,SUPT5H,100
392,USF2,0
393,BMI1,100
394,GABPB1,100
395,PRDM10,100
396,RFX5,0
397,PBX2,1
398,NR2C1,0
399,ZBTB40,100
400,E4F1,0
